housenum,zipcode,date_of_birth,sex,var1,var2,var3,var4,var5
97,8275 QI,19160417,0,-0.3961483090577049,-0.8107685513271395,0.2435999456393317,1.2101227575598583,-0.6575919405985775
0,6892 ZT,19041203,0,-0.3807175547677694,0.8191185992055899,0.7245283800400956,-1.0543726946646372,-0.1202052965882469
84,3707 PZ,19060902,1,1.0128091290989354,0.013794011904987665,-0.4789085428332959,-0.4612914354491416,1.7261598715487294
9,6570 WP,19931206,1,1.6948351768143044,1.1384504028806373,0.7633628827843747,0.32763583541012464,0.14112622225099286
9,4799TF,19401204,0,0.9546687569383474,2.5203484207081788,2.0855551707460958,0.7862377829049845,-1.2064453935570365
5,9893VG,19630723,0,-0.13952530290289006,-0.8930605009156333,2.1549794225478327,-0.7038176515956884,0.19453022338042916
717,1015 XQ,20150507,1,-0.28613856346954963,1.4098196603353643,1.0189417618597574,-1.3247668969621624,-1.1957896800121006
1,5154 VH,19670529,1,0.4337464778212536,-0.35680677686212503,0.09926427444425924,-2.0553643978859033,-0.2983678817081153
0,2964 XO,20140306,1,0.07204065125949935,-2.7851447342705886,-0.3744536897042139,1.744626189065863,0.4070270784041332
290,9787ZT,19970623,0,2.0219723196425985,-1.2453573052763296,0.20466006321701646,0.4443972910132704,1.6660072489748814
36,4791PL,19341225,0,0.012224345107138455,0.1618328397209644,1.316300927309809,-0.6158243609277929,0.4841560292644228
521,8028 EN,20040919,0,-0.21677923859746392,-2.260568163410846,-0.014393500905709813,0.4155714009104256,-1.168122761305449
364,3783DV,20141030,1,-1.7306694635312123,0.3063625945861768,0.3893472636252089,-0.6329550330373221,-0.2528576250211368
38,8197HA,19660720,1,-1.0863749260077948,0.013231363021398384,0.8375862649851039,-0.018780232241126384,0.9261098836663856
876,7804 WJ,19680828,1,1.1377725594460004,-0.25015716152630035,0.9986970405052866,-0.5115514375738782,0.169458645000697
7,4575 AI,19651029,1,0.9494956938566828,-1.819316434424317,-0.9174287399396324,-0.8500418621919922,1.558463306600952
237,2971ZJ,19460201,1,-2.04127462259849,-0.16508876746697132,-0.7250330013942051,-3.2131410113598133,-0.4389276756346552
37,6939 ZB,19510514,1,0.4462037018635391,0.1880931332105999,-1.3704718717891888,1.2768716454690303,0.11993738595198045
823,1586 JB,19661221,0,-0.950412450933572,2.1912886180821167,2.3169346137910307,-0.5446223624833655,-1.7580340231979203
0,8561 WU,19620215,0,0.5939274863175411,1.0427548404978757,0.5566844309685276,1.3731181294139378,0.3696588767367667
8,7916 CR,19921025,1,0.7285586804002379,-1.9183797951317585,0.3367711740904826,-2.083534061454167,-0.752005253726919
40,4600 BW,19501217,0,-0.7936660906989464,0.5408358508058444,-0.06698687109828322,0.7508403143502903,0.0803408385457537
