housenum,zipcode,date_of_birth,sex,var15,var16,var17,var18,var19,var20,Target
97,8275 QI,19160417,0,2.5348880176718707,0.627049179424625,0.7424587197196162,-0.7421218339458917,-0.6785046738743981,1.2345610775247091,253.2004594144157
0,6892 ZT,19041203,0,1.3002047560737569,1.2186115506819142,-0.9624319693516894,-0.2408774709863329,-0.7715401079092031,-0.08890888397218721,-2.635799436221532
84,3707 PZ,19060902,1,0.19391984168786355,0.9690939718890581,0.4213134045467681,0.022996390772669097,1.636378606195156,-0.4835013923358266,-126.30214642072622
9,6570 WP,19931206,1,0.5451979828531097,0.6652864705893117,-1.139105571332294,-0.6932312959417575,-2.004484818159633,1.0625520770517074,129.76703745594676
9,4799TF,19401204,0,-0.4535664584988374,-1.4374919118540512,0.5522825197058171,0.464814269443147,0.7058002562367548,-0.40265552988529457,-25.764744378482487
5,9893VG,19630723,0,0.2883959662525551,0.2678205033194871,-1.5595939128397485,1.4336655904846731,-0.24583241096697106,0.12759332711440202,86.91556864693169
717,1015 XQ,20150507,1,0.8042852812116255,-0.5396418256315297,0.6035922559861943,0.9933666497495406,-2.263824400646377,-0.1958970291175597,-194.05925911940886
1,5154 VH,19670529,1,-0.7922803791701728,1.0701543233369188,-0.4600822690143758,0.03987316631943357,-0.2809883193207237,1.185950684564318,147.09830312045509
0,2964 XO,20140306,1,0.31796858577344983,-0.06906171339777077,-0.4742333318820069,-1.7331632923953757,0.15146800004054567,0.9098530618417032,321.3942569247053
290,9787ZT,19970623,0,-0.6841268420473509,0.29437253415933456,1.8942464156499466,-0.5066689700393417,1.2890211283956277,-0.8534999413027137,120.14774547246272
36,4791PL,19341225,0,-2.4574662159401983,0.7577508627792195,-0.3500904802581047,1.0856908722041565,1.3246977629411258,0.5293493440292719,16.620727029649988
521,8028 EN,20040919,0,-0.8905058690872859,0.6374912879540111,2.0749113159134485,0.13599817093036778,0.4808715877758598,-0.21840132519131486,60.908314885174754
364,3783DV,20141030,1,-1.04450134312243,-0.6546136350085009,0.7320559838178112,-0.6660324750426153,1.2042709550742097,-0.1754227787472406,33.72554292110655
38,8197HA,19660720,1,2.719185920599727,1.0016296545126837,-0.9348298614678272,1.2806575952329278,-0.33546236193543777,-1.0190053320783763,-14.163057490004148
876,7804 WJ,19680828,1,-0.04819417280126515,-0.2726614625835073,0.14118778496138354,0.3861167332817884,0.7860529623661067,1.4131480002470862,123.02061744373688
7,4575 AI,19651029,1,1.1624948189234436,0.8886906218697678,0.5832746684221563,0.04166330485628265,0.16690534352117645,-0.937879267158529,-4.620324899762054
237,2971ZJ,19460201,1,-1.3868550861883069,0.25322395228439704,1.117782088251512,-1.6976978616002856,0.5706824599144075,-1.0002788135163807,-257.31612419711047
37,6939 ZB,19510514,1,-0.8764789851277786,2.0560123807191744,0.4965127285578426,0.7563105481492349,-0.8410828326963871,0.3923958970300861,-23.46564928787092
823,1586 JB,19661221,0,-0.7822016780111192,-0.19033143243627346,0.7200458264976596,-0.5729396863234806,-0.5388386735933945,-1.219340310517753,-85.89192282409773
0,8561 WU,19620215,0,-0.9778477124343276,-1.1677778698775323,0.4031046271520449,-1.0078950474109432,-1.0720003242202685,0.20962499174402574,-8.460737721154869
8,7916 CR,19921025,1,0.18461849881157152,-1.3250033555581011,0.4806786155443352,-0.5149532961317891,0.6422973217839633,0.4726054018167719,-164.5755398504819
40,4600 BW,19501217,0,-1.736143028368575,-2.1325529586425067,1.47019239355651,0.03161797639698053,-1.0827589805964934,-0.7400523899777803,7.13870882520698
19,3623WK,19470626,0,0.9181765791443384,-0.5167946721299971,1.2753475324371304,-0.4697195858171138,0.7710998551106159,-0.8606158753884053,-284.1027838608318
0,7099 XB,19570429,0,-1.0623737860083018,-1.0414862152986326,0.6461965328689288,-1.2623483287335924,1.462659301502515,0.19597937651020111,-253.40034264182492
57,4394 GE,19510402,1,2.951526893264791,0.7657006334297914,-0.15868939925270462,1.0491256378992042,0.4606470532772645,-0.06820077828270549,-40.70816899473543
5,7216HB,19750612,0,0.3758221229349592,1.3642372224888433,2.4460789527246316,0.5911586792588021,0.9135379914334324,0.775459375966929,323.4128833820999
611,1405QY,19530417,1,2.615890241986216,-0.9428409892757224,-0.12280675661779974,-0.7820670529773539,-0.2487129432364479,0.6460214579624688,165.25422269132784
15,7487 UG,19061111,1,-0.6725342945734248,-1.346717604367628,1.6104650338618318,-0.17670341976013795,-0.1195811012371688,0.07190169708400779,8.500143256045895
940,5804 HY,19560228,0,0.5668430375684722,-0.7405530073354158,-2.187802893733152,1.2130901818271242,-0.5460870259941247,0.33987593698971924,-188.43214855084054
4,3790ZQ,19670510,1,0.034715734382286687,-0.1816293057777927,-1.5681676968432323,-0.2225952114403501,0.9937580375239292,-0.7814011502262892,-129.62956716674123
253,4093SQ,19240208,0,-1.1553549910175231,-0.8255297069093249,-0.2576460534844326,0.3525086754200182,0.15682884896242294,-0.6781942874228716,5.271920564288919
15,8212FJ,19201113,1,-0.9004110683638881,1.2613891106372759,0.73052296844599,0.2772130130145776,-0.1498655873213731,0.14075372365791253,-41.70311158759582
50,3870CC,19210520,0,0.5111182126133006,0.7800946103681103,-1.1340562200741102,-1.3138664619833138,-1.4477659847724202,-0.4966756866083317,149.23459796509084
